,OpponentId,winner_rank,Unnamed: 0,T_1st_ad_Aces,T_1st_ad_Unreturned,T_1st_ad_Returned,T_1st_ad_AvgSpeed,M_1st_ad_Aces,M_1st_ad_Unreturned,M_1st_ad_Returned,M_1st_ad_AvgSpeed,W_1st_ad_Aces,W_1st_ad_Unreturned,W_1st_ad_Returned,W_1st_ad_AvgSpeed,T_2nd_ad_Aces,T_2nd_ad_Unreturned,T_2nd_ad_Returned,T_2nd_ad_AvgSpeed,M_2nd_ad_Aces,M_2nd_ad_Unreturned,M_2nd_ad_Returned,M_2nd_ad_AvgSpeed,W_2nd_ad_Aces,W_2nd_ad_Unreturned,W_2nd_ad_Returned,W_2nd_ad_AvgSpeed,T_1st_d_Aces,T_1st_d_Unreturned,T_1st_d_Returned,T_1st_d_AvgSpeed,M_1st_d_Aces,M_1st_d_Unreturned,M_1st_d_Returned,M_1st_d_AvgSpeed,W_1st_d_Aces,W_1st_d_Unreturned,W_1st_d_Returned,W_1st_d_AvgSpeed,T_2nd_d_Aces,T_2nd_d_Unreturned,T_2nd_d_Returned,T_2nd_d_AvgSpeed,M_2nd_d_Aces,M_2nd_d_Unreturned,M_2nd_d_Returned,M_2nd_d_AvgSpeed,W_2nd_d_Aces,W_2nd_d_Unreturned,W_2nd_d_Returned,W_2nd_d_AvgSpeed,year
0,n409,2.1379310344827585,85.66666666666667,0.4444444444444444,2.7777777777777777,11.333333333333334,112.88888888888889,0.0,1.5555555555555556,8.0,110.88888888888889,1.0,2.5555555555555554,8.555555555555555,109.77777777777777,0.0,0.8888888888888888,5.777777777777778,95.66666666666667,0.0,0.5555555555555556,6.111111111111111,91.55555555555556,0.0,0.4444444444444444,2.5555555555555554,82.22222222222223,0.6666666666666666,3.2222222222222223,10.555555555555555,115.44444444444444,0.0,1.6666666666666667,8.11111111111111,110.22222222222223,0.5555555555555556,1.4444444444444444,5.888888888888889,110.0,0.0,0.4444444444444444,2.888888888888889,72.44444444444444,0.0,1.0,5.333333333333333,81.22222222222223,0.0,0.5555555555555556,3.7777777777777777,81.44444444444444,2016.3333333333333
1,F324,2.3043478260869565,98.5,4.833333333333333,5.333333333333333,14.333333333333334,116.16666666666667,0.0,0.3333333333333333,4.166666666666667,70.16666666666667,2.1666666666666665,4.833333333333333,11.0,69.83333333333333,0.16666666666666666,1.0,10.166666666666666,84.0,0.0,1.1666666666666667,10.333333333333334,81.33333333333333,0.16666666666666666,1.5,6.166666666666667,98.5,3.0,4.5,14.666666666666666,114.16666666666667,0.0,1.0,2.1666666666666665,93.0,1.8333333333333333,3.3333333333333335,10.333333333333334,92.16666666666667,0.0,0.8333333333333334,5.666666666666667,86.66666666666667,0.0,1.1666666666666667,7.666666666666667,98.83333333333333,0.0,2.1666666666666665,11.0,96.16666666666667,2015.1666666666667
2,mc10,4.2727272727272725,120.25,5.25,7.5,12.25,128.25,0.0,0.75,2.0,108.5,1.25,6.25,19.0,108.0,0.0,2.5,18.0,88.0,0.0,0.75,7.75,90.0,0.0,1.0,3.0,95.25,2.75,6.75,28.0,114.25,0.0,0.0,1.5,56.25,1.5,4.75,8.5,93.75,0.5,0.0,4.75,95.75,0.0,0.75,10.75,86.25,0.0,3.0,17.75,86.0,2014.25
3,d402,6.0,156.0,0.0,0.0,2.0,90.0,0.0,1.0,3.0,96.0,0.0,1.0,1.0,87.0,0.0,2.0,4.0,94.0,0.0,1.0,1.0,85.0,0.0,0.0,2.0,82.0,0.0,1.0,1.0,105.0,0.0,0.0,2.0,81.0,0.0,0.0,1.0,87.0,0.0,0.0,2.0,103.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,2012.0
4,MM58,7.0,21.666666666666668,2.3333333333333335,3.0,14.333333333333334,121.66666666666667,0.0,0.3333333333333333,1.0,81.0,2.6666666666666665,1.3333333333333333,7.0,127.33333333333333,0.0,0.3333333333333333,3.0,113.66666666666667,0.0,1.0,6.666666666666667,88.66666666666667,0.3333333333333333,1.6666666666666667,8.666666666666666,90.66666666666667,3.6666666666666665,3.6666666666666665,10.333333333333334,126.66666666666667,0.0,0.0,1.3333333333333333,77.33333333333333,2.0,4.0,9.333333333333334,119.0,0.6666666666666666,0.3333333333333333,8.0,102.33333333333333,0.0,0.6666666666666666,6.666666666666667,99.33333333333333,0.6666666666666666,2.0,7.0,105.66666666666667,2020.0
5,RE44,8.0,8.0,0.0,2.0,7.0,122.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,129.0,0.0,0.0,1.0,102.0,0.0,0.0,2.0,90.0,0.0,0.0,2.0,90.0,3.0,1.0,2.0,131.0,0.0,0.0,1.0,110.0,3.0,1.0,1.0,109.0,0.0,2.0,9.0,93.0,0.0,0.0,3.0,98.0,0.0,0.0,3.0,98.0,2021.0
6,g628,8.0,149.0,1.0,3.5,6.5,107.0,0.0,0.0,1.0,100.0,0.0,2.0,8.5,102.0,0.0,2.5,4.5,99.5,0.0,0.5,2.0,91.0,0.0,0.5,0.5,97.5,0.5,3.5,5.5,55.5,0.0,0.0,1.0,44.5,1.0,1.5,8.5,100.0,0.0,0.5,1.0,56.5,0.0,0.0,1.5,90.5,0.0,2.0,10.0,90.5,2012.5
7,c977,8.0,96.8,1.8,1.6,4.8,121.2,0.0,0.8,2.0,66.8,0.6,2.0,4.4,86.6,0.0,1.0,6.6,93.8,0.0,0.6,5.8,92.6,0.0,1.4,2.2,94.4,0.8,2.2,8.8,116.0,0.0,0.8,3.6,94.0,0.2,1.2,3.4,118.8,0.0,0.8,7.2,97.4,0.0,0.6,4.8,91.0,0.2,0.6,4.0,91.4,2015.0
8,BA47,11.333333333333334,111.6,0.6,3.8,9.6,122.0,0.0,0.6,2.8,92.4,1.6,4.2,6.8,113.4,0.0,1.0,12.2,98.4,0.0,1.0,6.6,97.4,0.0,0.2,2.0,103.2,1.8,4.4,9.6,117.6,0.0,0.2,1.4,92.2,1.4,1.2,6.2,118.0,0.0,0.0,1.6,82.2,0.0,1.0,9.8,97.4,0.0,1.8,9.8,97.6,2014.0
9,gb88,13.0,95.5,1.25,1.75,8.25,111.5,0.0,0.75,1.5,104.75,0.25,2.5,7.25,105.25,0.0,0.25,7.75,95.0,0.0,1.0,5.5,90.5,0.0,0.5,5.25,92.75,1.0,2.25,7.5,110.75,0.0,0.5,2.0,78.0,1.0,2.0,7.0,106.25,0.0,0.25,4.5,97.25,0.0,0.0,5.25,89.0,0.0,0.75,6.0,91.0,2015.25
10,ke17,16.5,68.0,4.0,7.0,1.0,133.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,105.0,0.0,2.0,2.0,93.0,0.0,0.0,7.0,134.0,0.0,1.0,1.0,135.0,3.0,4.0,5.0,118.0,0.0,0.0,6.0,93.0,0.0,2.0,1.0,109.0,1.0,0.0,1.0,112.0,2017.0
11,i186,16.5,113.0,3.8,5.4,10.6,125.2,0.0,1.6,3.6,121.8,2.6,2.0,7.4,98.8,0.0,0.8,8.4,108.4,0.0,1.0,5.6,113.4,0.0,0.8,1.4,68.8,2.6,4.4,10.8,125.8,0.0,0.8,3.6,97.0,1.0,2.4,7.4,119.8,0.4,0.8,2.4,93.6,0.0,1.6,3.8,109.2,0.2,1.8,7.8,84.2,2014.6
12,KE29,18.0,36.5,0.0,0.0,3.5,114.0,0.0,0.0,4.0,105.5,0.0,0.0,1.5,58.0,0.0,0.0,1.5,108.0,0.0,0.0,6.0,100.5,0.0,0.0,1.0,50.5,1.0,1.0,4.0,109.0,0.0,0.0,1.5,109.5,0.5,2.0,3.0,111.5,0.0,1.0,2.0,98.0,0.0,0.0,2.5,104.5,0.0,0.0,0.5,53.0,2019.0
13,f401,18.6,126.75,1.0,2.25,5.0,111.0,0.0,1.25,9.0,108.25,0.0,1.0,6.75,108.0,0.0,0.75,5.0,71.5,0.0,0.75,7.25,96.25,0.0,0.25,0.75,98.5,0.25,2.25,8.0,111.5,0.0,0.75,3.5,77.75,0.25,1.75,6.0,108.5,0.0,0.5,1.75,100.0,0.0,1.25,7.5,93.0,0.0,0.5,5.5,92.25,2013.5
14,CD85,19.0,46.0,0.0,0.5,4.0,115.0,0.0,1.0,5.0,107.0,0.0,2.0,8.0,107.0,0.0,1.0,1.0,105.5,0.0,0.5,2.5,83.5,0.0,0.5,5.5,86.0,0.0,1.5,9.5,113.5,0.0,1.0,5.5,106.5,0.0,2.5,7.5,108.0,0.0,1.5,5.0,98.0,0.0,0.5,2.0,91.0,0.0,0.0,0.5,41.5,2018.0
15,r419,20.5,127.0,1.0,4.0,14.0,121.0,0.0,1.0,2.0,115.0,0.0,1.0,2.0,115.0,0.0,1.0,7.0,95.0,0.0,3.0,10.0,94.0,0.0,0.0,0.0,0.0,4.0,1.0,15.0,116.0,0.0,2.0,3.0,117.0,0.0,2.0,3.0,117.0,0.0,1.0,3.0,100.0,0.0,0.0,9.0,95.0,0.0,1.0,2.0,97.0,2014.0
16,N552,21.5,105.66666666666667,2.6666666666666665,4.0,15.666666666666666,114.66666666666667,0.0,2.3333333333333335,7.333333333333333,105.0,1.3333333333333333,4.333333333333333,15.0,106.0,0.0,2.0,16.0,88.0,0.0,2.0,8.0,90.66666666666667,0.0,0.6666666666666666,5.333333333333333,89.66666666666667,1.6666666666666667,4.0,14.333333333333334,111.0,0.0,3.0,9.333333333333334,111.33333333333333,1.6666666666666667,2.6666666666666665,14.0,110.66666666666667,0.0,1.0,5.666666666666667,94.33333333333333,0.0,1.6666666666666667,9.666666666666666,89.0,0.0,1.0,9.333333333333334,86.0,2015.0
17,e831,22.0,57.0,0.75,1.75,6.5,114.0,0.0,0.25,2.75,109.0,0.0,2.75,5.5,107.75,0.0,0.25,1.0,105.25,0.0,0.75,5.25,69.75,0.0,1.75,6.5,93.75,0.75,1.75,6.5,113.5,0.0,1.0,3.25,107.75,0.5,1.25,3.5,83.25,0.0,1.75,4.25,73.0,0.0,2.0,8.5,95.5,0.0,0.25,2.25,21.5,2017.5
18,BD06,22.666666666666668,42.5,0.75,3.5,10.0,109.0,0.0,0.75,3.0,83.25,0.5,3.0,10.25,83.75,0.0,0.0,6.0,101.0,0.0,0.75,5.75,91.0,0.0,0.5,6.5,93.0,0.5,1.75,11.5,113.25,0.0,0.25,3.75,112.25,0.75,2.75,9.75,109.0,0.0,0.5,4.25,95.25,0.0,1.25,5.25,92.75,0.0,0.25,3.5,96.75,2018.0
19,l397,24.0,106.0,0.3333333333333333,0.6666666666666666,4.333333333333333,125.0,0.0,1.6666666666666667,1.6666666666666667,120.0,2.0,1.6666666666666667,4.666666666666667,121.66666666666667,0.0,0.6666666666666666,5.333333333333333,60.333333333333336,0.0,1.0,2.3333333333333335,96.66666666666667,0.0,0.3333333333333333,1.0,86.0,1.0,1.6666666666666667,3.0,127.33333333333333,0.0,0.0,1.0,39.666666666666664,1.0,2.0,2.6666666666666665,121.33333333333333,0.0,1.0,1.6666666666666667,92.0,0.0,1.0,6.333333333333333,67.0,0.0,0.3333333333333333,5.666666666666667,101.66666666666667,2015.0
20,d875,28.0,93.0,1.5,2.0,10.25,82.5,0.0,1.25,4.75,75.0,0.0,0.25,2.25,77.0,0.0,0.75,7.75,73.25,0.0,1.0,5.25,96.75,0.0,0.0,2.5,100.0,2.0,1.75,4.5,112.0,0.0,1.25,5.5,99.75,0.25,0.75,3.25,78.25,0.0,0.25,8.5,75.0,0.0,1.0,4.0,47.75,0.0,0.25,3.25,71.0,2015.5
21,h355,31.0,152.0,0.5,0.5,2.5,59.0,0.0,0.0,2.5,104.0,0.0,1.5,5.0,104.0,0.0,0.0,3.0,44.0,0.0,0.0,4.0,95.0,0.0,1.0,2.5,100.0,0.5,1.5,2.5,106.5,0.0,0.0,2.5,98.5,0.0,1.5,4.5,105.0,0.0,0.5,0.5,47.0,0.0,0.0,4.5,92.5,0.0,0.5,2.0,93.5,2012.5
22,Q927,32.0,121.0,2.0,3.3333333333333335,7.0,117.33333333333333,0.0,0.0,0.6666666666666666,74.33333333333333,2.0,2.6666666666666665,4.666666666666667,118.0,0.0,0.5,6.5,98.0,0.0,0.0,5.666666666666667,97.33333333333333,0.0,0.3333333333333333,4.333333333333333,99.0,2.3333333333333335,1.6666666666666667,6.0,122.0,0.0,0.3333333333333333,2.3333333333333335,110.33333333333333,1.3333333333333333,2.0,5.333333333333333,113.33333333333333,0.0,0.5,5.0,102.5,0.0,1.3333333333333333,7.333333333333333,96.66666666666667,0.0,1.0,4.333333333333333,96.66666666666667,2014.6666666666667
23,E687,32.0,1.0,1.0,0.0,8.0,111.0,0.0,2.0,5.0,111.0,0.0,2.0,13.0,109.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,92.0,0.0,2.0,11.0,92.0,0.0,1.0,13.0,112.0,0.0,0.0,4.0,114.0,0.0,2.0,7.0,107.0,0.0,0.0,11.0,93.0,0.0,1.0,8.0,96.0,0.0,1.0,8.0,96.0,2021.0
24,K435,35.0,64.0,1.25,2.75,7.25,116.0,0.0,2.0,3.0,116.5,0.5,2.25,4.25,114.75,0.0,0.75,3.25,96.0,0.0,0.75,9.5,93.25,0.0,1.25,6.25,92.25,1.5,2.25,7.5,115.25,0.0,1.0,4.5,114.0,0.25,2.5,5.0,108.5,0.0,0.75,5.25,97.25,0.0,1.25,10.25,94.0,0.0,0.5,3.0,96.5,2017.25
25,N289,40.0,147.0,0.0,1.0,4.0,81.0,0.0,1.0,5.0,81.0,0.0,0.0,1.0,83.0,0.0,1.0,4.0,81.0,0.0,1.0,5.0,81.0,0.0,0.0,1.0,83.0,0.0,0.0,7.0,83.0,0.0,0.0,4.0,81.0,0.0,0.0,1.0,73.0,0.0,0.0,7.0,83.0,0.0,0.0,4.0,81.0,0.0,0.0,1.0,73.0,2013.0
26,d683,43.5,95.25,3.5,5.0,14.0,114.75,0.0,0.75,4.5,114.75,2.25,3.0,4.25,93.25,0.0,1.0,8.25,98.5,0.0,0.5,11.5,92.25,0.0,0.0,4.75,73.0,2.75,3.5,15.75,123.75,0.0,0.5,2.75,120.5,1.25,2.5,7.0,114.25,0.0,1.0,9.25,102.0,0.0,1.0,7.25,95.75,0.0,0.25,4.0,71.0,2015.25
27,DH50,45.0,0.0,0.0,2.0,8.0,119.0,0.0,0.0,3.0,113.0,0.0,1.0,5.0,110.0,0.0,1.0,0.0,104.0,0.0,1.0,4.0,95.0,0.0,1.0,4.0,95.0,0.0,1.0,8.0,117.0,0.0,0.0,4.0,112.0,0.0,1.0,4.0,111.0,0.0,0.0,2.0,96.0,0.0,1.0,4.0,92.0,0.0,1.0,4.0,92.0,2021.0
28,PD31,47.0,107.0,1.0,0.0,5.0,125.0,0.0,1.0,1.0,123.0,1.0,0.0,7.0,110.0,0.0,0.0,17.0,94.0,0.0,0.0,4.0,93.0,0.0,1.0,3.0,100.0,1.0,1.0,7.0,123.0,0.0,0.0,2.0,120.0,1.0,2.0,7.0,122.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,88.0,0.0,1.0,12.0,90.0,2015.0
29,G858,53.0,100.0,3.0,3.0,7.0,131.0,0.0,0.0,2.0,118.0,1.0,5.0,8.0,111.0,0.0,0.0,3.0,107.0,0.0,1.0,14.0,95.0,0.0,0.0,4.0,102.0,3.0,5.0,8.0,127.0,0.0,2.0,1.0,130.0,1.0,6.0,4.0,130.0,1.0,0.0,10.0,107.0,0.0,1.0,6.0,94.0,0.0,0.0,2.0,96.0,2015.0
30,cf01,72.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,95.0,0.0,2.0,4.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,95.0,0.0,2.0,4.0,96.0,0.0,0.0,3.0,97.0,0.0,0.0,2.0,103.0,0.0,0.0,2.0,102.0,0.0,0.0,3.0,97.0,0.0,0.0,2.0,103.0,0.0,0.0,2.0,102.0,2018.0
31,b747,88.0,109.0,0.0,3.0,5.0,124.0,0.0,0.0,2.0,120.0,0.0,0.0,2.0,120.0,0.0,0.0,10.0,95.0,0.0,1.0,1.0,94.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,120.0,0.0,1.0,0.0,121.0,0.0,1.0,0.0,121.0,0.0,1.0,1.0,104.0,0.0,0.0,5.0,87.0,0.0,1.0,8.0,91.0,2014.0
32,da81,109.0,50.0,0.0,0.0,1.0,108.0,0.0,6.0,12.0,90.0,0.0,0.0,5.0,93.0,0.0,0.0,1.0,108.0,0.0,6.0,12.0,90.0,0.0,0.0,5.0,93.0,0.0,0.0,7.0,96.0,0.0,3.0,11.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,96.0,0.0,3.0,11.0,93.0,0.0,0.0,0.0,0.0,2018.0
33,i165,117.0,142.0,0.0,2.0,1.0,92.0,0.0,2.0,10.0,92.0,0.0,1.0,3.0,95.0,0.0,2.0,1.0,92.0,0.0,2.0,10.0,92.0,0.0,1.0,3.0,95.0,0.0,2.0,9.0,96.0,0.0,0.0,5.0,94.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,96.0,0.0,0.0,5.0,94.0,0.0,0.0,0.0,0.0,2013.0
34,A678,122.0,68.33333333333333,1.0,1.3333333333333333,5.666666666666667,127.66666666666667,0.0,0.3333333333333333,0.3333333333333333,33.666666666666664,2.0,1.6666666666666667,4.666666666666667,119.66666666666667,0.0,1.6666666666666667,6.666666666666667,110.0,0.0,0.6666666666666666,2.6666666666666665,107.0,0.3333333333333333,0.3333333333333333,3.0,106.66666666666667,2.0,2.6666666666666665,5.666666666666667,125.66666666666667,0.0,0.3333333333333333,1.6666666666666667,78.0,2.3333333333333335,2.0,6.666666666666667,121.0,0.0,1.0,4.333333333333333,113.0,0.0,0.3333333333333333,3.3333333333333335,110.33333333333333,0.0,0.3333333333333333,2.0,110.0,2016.6666666666667
35,K966,140.0,103.0,0.0,4.0,8.0,111.0,0.0,2.0,8.0,113.0,0.0,1.0,3.0,116.0,0.0,1.0,11.0,86.0,0.0,2.0,4.0,89.0,0.0,0.0,1.0,90.0,0.0,2.0,3.0,120.0,0.0,1.0,6.0,110.0,0.0,4.0,8.0,107.0,0.0,0.0,1.0,92.0,0.0,3.0,10.0,91.0,0.0,0.0,6.0,94.0,2015.0
36,G676,178.0,163.0,2.0,3.0,13.0,120.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,117.0,0.0,1.0,10.0,107.0,0.0,0.0,1.0,90.0,0.0,0.0,1.0,107.0,2.0,6.0,5.0,122.0,0.0,1.0,0.0,127.0,0.0,5.0,7.0,121.0,0.0,0.0,3.0,111.0,0.0,1.0,9.0,93.0,0.0,1.0,4.0,92.0,2012.0
37,KB05,319.0,20.0,2.0,6.0,20.0,114.0,0.0,0.0,7.0,102.0,1.0,5.0,23.0,115.0,0.0,0.0,1.0,102.0,0.0,4.0,15.0,91.0,0.0,3.0,6.0,88.0,2.0,5.0,28.0,116.0,0.0,0.0,3.0,100.0,2.0,5.0,18.0,102.0,0.0,1.0,12.0,96.0,0.0,3.0,9.0,93.0,0.0,0.0,3.0,95.0,2020.0
